id,fichier,terme,article,image_url,licence,auteur,licence_url,attribution_requise
sujiko,sujiko.jpg,ja:イクラ,https://ja.wikipedia.org/wiki/イクラ,https://upload.wikimedia.org/wikipedia/commons/d/d2/Ikura.jpg,CC BY-SA 3.0,Hykw-a4,http://creativecommons.org/licenses/by-sa/3.0/,true
tarako,tarako.jpg,ja:鱈子,https://ja.wikipedia.org/wiki/たらこ,https://upload.wikimedia.org/wikipedia/commons/f/f7/Alaska_pollack_liver_roe_milt.jpg,CC BY 4.0,yoyo,https://creativecommons.org/licenses/by/4.0,true
kappamaki,kappamaki.jpg,ja:河童巻,https://ja.wikipedia.org/wiki/河童,https://upload.wikimedia.org/wikipedia/commons/a/af/Kyoka_Hyaku-Monogatari_Kappa.jpg,Public domain,竜斎閑人正澄 (Japanese),,false
tekkamaki,tekkamaki.jpg,ja:鉄火巻,https://ja.wikipedia.org/wiki/鉄火巻,https://upload.wikimedia.org/wikipedia/commons/4/49/Kaiten-zushi_005.jpg,CC0,Ocdp,http://creativecommons.org/publicdomain/zero/1.0/deed.en,false
kanpyomaki,kanpyomaki.jpg,ja:干瓢巻,https://ja.wikipedia.org/wiki/かんぴょう,https://upload.wikimedia.org/wikipedia/commons/5/57/Kampyo.JPG,CC BY-SA 3.0,Sakurai Midori,http://creativecommons.org/licenses/by-sa/3.0/,true
himokyumaki,himokyumaki.jpg,ja:ひもきゅう巻,https://ja.wikipedia.org/wiki/巻き寿司,https://upload.wikimedia.org/wikipedia/commons/0/03/Makizushi2.jpg,CC0,pasqualeschiavoneph,http://creativecommons.org/publicdomain/zero/1.0/deed.en,false
torotakumaki,torotakumaki.jpg,ja:トロたく巻,https://ja.wikipedia.org/wiki/軍艦巻,https://upload.wikimedia.org/wikipedia/commons/1/10/Sushi_Nemuro_Hanamaru_Tokei_Dai_%28184517515%29.jpeg,CC BY 3.0,Sorah Fukumori,https://creativecommons.org/licenses/by/3.0,true
negitoromaki,negitoromaki.jpg,ja:ねぎとろ巻,https://ja.wikipedia.org/wiki/巻き寿司,https://upload.wikimedia.org/wikipedia/commons/0/03/Makizushi2.jpg,CC0,pasqualeschiavoneph,http://creativecommons.org/publicdomain/zero/1.0/deed.en,false
anakyumaki,anakyumaki.jpg,ja:穴きゅう巻,https://ja.wikipedia.org/wiki/巻き寿司,https://upload.wikimedia.org/wikipedia/commons/0/03/Makizushi2.jpg,CC0,pasqualeschiavoneph,http://creativecommons.org/publicdomain/zero/1.0/deed.en,false
tamago,tamago.jpg,ja:玉子,https://ja.wikipedia.org/wiki/温泉卵,https://upload.wikimedia.org/wikipedia/commons/8/8a/Onsen_tamago_at_minshuku_Korakuen%2C_Nagano_by_Blue_Lotus.jpg,CC BY 2.0,"Blue Lotus から Jigokudani Onsen, Nagano",https://creativecommons.org/licenses/by/2.0,true
ankimo,ankimo.jpg,ja:鮟肝,https://ja.wikipedia.org/wiki/海のフォアグラ,https://upload.wikimedia.org/wikipedia/commons/3/39/Ankimo01.jpg,CC BY-SA 2.0,takamorry,https://creativecommons.org/licenses/by-sa/2.0,true
shirako,shirako.jpg,ja:白子,https://ja.wikipedia.org/wiki/白子町,https://upload.wikimedia.org/wikipedia/commons/b/be/Sirako_jinja.JPG,CC BY-SA 3.0,Jerry fish tkc,https://creativecommons.org/licenses/by-sa/3.0,true
fugushirako,fugushirako.jpg,ja:河豚白子,https://ja.wikipedia.org/wiki/フグ,https://upload.wikimedia.org/wikipedia/commons/2/25/Fugu_in_Tank.jpg,CC BY-SA 3.0,,https://creativecommons.org/licenses/by-sa/3.0,true
oboro,oboro.jpg,ja:でんぶ,https://ja.wikipedia.org/wiki/佃煮,https://upload.wikimedia.org/wikipedia/commons/5/5f/Ikanago_1.JPG,Public domain,コンピュータが読み取れる情報は提供されていませんが、Ro-~commonswikiだと推定されます（著作権の主張に基づく）,,false
menegi,menegi.jpg,ja:芽葱,https://ja.wikipedia.org/wiki/千住葱,https://upload.wikimedia.org/wikipedia/commons/7/7e/Senjunegi01.jpg,CC BY-SA 4.0,にしきあなご,https://creativecommons.org/licenses/by-sa/4.0,true
shiitake,shiitake.jpg,ja:椎茸,https://ja.wikipedia.org/wiki/シイタケ,https://upload.wikimedia.org/wikipedia/commons/6/64/Shiitakegrowing.jpg,CC BY 2.0,"frankenstoen from Portland, Oregon",https://creativecommons.org/licenses/by/2.0,true
kaiware,kaiware.jpg,ja:貝割れ,https://ja.wikipedia.org/wiki/かいわれ大根,https://upload.wikimedia.org/wikipedia/commons/2/28/86_-_IMG_20150825_152850.jpg,CC BY-SA 4.0,Susan Slater,https://creativecommons.org/licenses/by-sa/4.0,true
hoya,hoya.jpg,ja:海鞘,https://ja.wikipedia.org/wiki/ホヤ,https://upload.wikimedia.org/wikipedia/commons/e/ef/SeasquirtJI1.jpg,CC BY 2.0,Joi Ito,https://creativecommons.org/licenses/by/2.0,true
namako,namako.jpg,ja:海鼠,https://ja.wikipedia.org/wiki/ナマコ,https://upload.wikimedia.org/wikipedia/commons/d/df/Sea_cucumber.jpg,CC BY-SA 3.0,Jacinta Richardson and Paul Fenwick,http://creativecommons.org/licenses/by-sa/3.0/,true
kujira,kujira.jpg,ja:鯨,https://ja.wikipedia.org/wiki/クジラ,https://upload.wikimedia.org/wikipedia/commons/0/07/Jumping_Humpback_whale.jpg,CC BY-SA 2.5,オリジナルのアップロード者は英語版ウィキペディアのZorankovacevicさん,https://creativecommons.org/licenses/by-sa/2.5,true
